invoice_type,property_id,creditor_id,tenancy_id,entered_date,due_date,creditor_reference,is_priority,line_1_account_code,line_1_description,line_1_amount_due,line_1_gst_due,line_1_amount_paid
Tenancy,rps_lng-HDO210285,rps_lng-VAD21000019,rps_lng-HDO211320,2021-10-18,2021-11-18,Gas Safety,,,,275.0,0,0
Creditor,rps_lng-HDO210285,rps_lng-SAN22000095,rps_lng-HDO211433,2023-04-13,2023-06-20,Urgent Cooktop Replacement quote,,,,0.0,0,0
Tenancy,rps_lng-HDO210285,,rps_lng-HDO211433,2022-08-04,2022-10-26,Urgent Shower Repair Quote,,,,0.0,0,0
Creditor,rps_lng-HDO210285,rps_lng-VAD21000019,rps_lng-HDO211433,2022-06-24,2022-06-24,Plumbing works - kitchen taps,,,,349.0,0,0
Tenancy,rps_lng-HDO210285,rps_lng-HDO19001493,rps_lng-HDO211433,2022-06-01,2022-08-04,Air Conditioner Replacement,,,,0.0,0,0
Creditor,rps_lng-HDO210285,rps_lng-HDO19002152,rps_lng-HDO211433,2022-01-19,2022-05-18,Air-conditioning,,,,365.0,0,0
Creditor,rps_lng-HDO210285,rps_lng-VAD21000019,rps_lng-HDO211433,2022-01-19,2022-01-24,General maintenace,,,,568.0,0,0
Creditor,rps_lng-HDO210307,rps_lng-VAD21000019,rps_lng-HDO211214,2022-08-31,2022-09-09,Shower Door repairs,,,,0.0,0,0
Creditor,rps_lng-HDO210307,rps_lng-VAD21000019,rps_lng-HDO211214,2021-12-20,2022-01-24,Roof Repairs,,,,204.75,0,0
Tenancy,rps_lng-HDO210307,rps_lng-HDO21001981,rps_lng-HDO211214,2021-10-22,2021-10-25,Pad Lock Removal,,,,0.0,0,0
Creditor,rps_lng-HDO210320,rps_lng-HDO19001188,rps_lng-HDO211130,2023-04-04,2023-06-05,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO210320,rps_lng-VAD21000019,rps_lng-HDO211130,2022-04-28,2022-12-22,Oven & Kitchen Tap Repairs,,,,1891.32,0,0
Creditor,rps_lng-HDO210327,rps_lng-DRE19000076,rps_lng-HDO211581,2023-06-23,2023-06-26,Heater not working,,,,275.0,0,0
Tenancy,rps_lng-HDO210327,rps_lng-HDO19003549,rps_lng-HDO211581,2022-10-27,2022-12-10,Dishwasher not working,,,,1585.0,0,0
Creditor,rps_lng-HDO210327,rps_lng-SAN22000095,rps_lng-HDO211581,2022-10-19,2023-03-21,Replace exhaust fan,,,,438.35,0,0
Creditor,rps_lng-HDO210327,rps_lng-HDO19001147,rps_lng-HDO211581,2022-05-23,2022-07-05,Roof - Ceiling leak,,,,299.32,0,0
Creditor,rps_lng-HDO210327,rps_lng-SAN22000007,rps_lng-HDO211581,2022-03-21,2022-03-24,Aircon not working,,,,250.25,0,0
Creditor,rps_lng-HDO210334,rps_lng-HDO22004027,rps_lng-HDO211234,2023-06-27,2023-07-05,Gas Safety Check,,,,290.0,0,0
Creditor,rps_lng-HDO210334,rps_lng-HDO19001188,rps_lng-HDO211234,2023-04-04,2023-04-04,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO210334,rps_lng-SAN22000063,rps_lng-HDO211234,2022-02-03,2022-02-03,Supply and Install Side gate,,,,935.0,0,0
Creditor,rps_lng-HDO210405,rps_lng-HDO22002424,rps_lng-HDO211434,2022-08-01,2022-08-01,Cleaning,,,,737.0,0,0
Creditor,rps_lng-HDO210405,rps_lng-HDO19003293,rps_lng-HDO221075,2022-11-15,2022-11-28,No hot water,,,,176.0,0,0
Creditor,rps_lng-HDO210413,rps_lng-JAM20000164,rps_lng-HDO220113,2023-06-28,2023-07-10,Front Door Deadlock,,,,275.0,0,0
Creditor,rps_lng-HDO210413,rps_lng-HDO08001895,rps_lng-HDO220113,2022-04-22,2022-06-30,Dishwasher,,,,192.5,0,0
Creditor,rps_lng-HDO210442,rps_lng-HDO22002894,rps_lng-HDO211648,2023-06-22,2023-06-22,Change Rangehood & Rubbish Removal,,,,805.09,0,0
Tenancy,rps_lng-HDO210442,rps_lng-HDO19001188,rps_lng-HDO211648,2023-04-17,2023-04-17,Gas and Electrical Check,,,,528.0,0,0
Tenancy,rps_lng-HDO210442,rps_lng-HDO22002894,rps_lng-HDO211648,2023-03-01,2023-07-12,Rangehood,,,,805.09,0,0
Creditor,rps_lng-HDO210452,rps_lng-HDO21001704,rps_lng-HDO230022,2023-04-18,2023-06-21,Toilet Seat Repair,,,,138.6,0,0
Creditor,rps_lng-HDO210452,rps_lng-HDO21001704,rps_lng-HDO230022,2023-03-03,2023-05-04,Window Stuck Open,,,,125.4,0,0
Creditor,rps_lng-HDO210452,rps_lng-HDO19001188,rps_lng-HDO230022,2023-02-07,2023-03-01,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO210452,rps_lng-DRE19000036,rps_lng-HDO230022,2023-01-25,2023-02-21,General Maintenance,,,,373.45,0,0
Creditor,rps_lng-HDO210452,rps_lng-HDO19001388,rps_lng-SAN210033,2022-07-21,2022-09-12,Garage Door Service,,,,300.0,0,0
Creditor,rps_lng-HDO210452,rps_lng-HDO19001340,rps_lng-SAN210033,2022-03-04,2022-05-09,Water Tank Leak,,,,275.0,0,0
Creditor,rps_lng-HDO210459,rps_lng-HDO21001981,rps_lng-HDO220256,2023-06-28,2023-06-28,Electrical Certificate,,,,0.0,0,0
Creditor,rps_lng-HDO210459,rps_lng-HDO19001493,rps_lng-HDO220256,2022-11-09,2022-11-09,Gas Ducted Heating Service,,,,258.0,0,0
Creditor,rps_lng-HDO210459,rps_lng-HDO19001493,rps_lng-HDO220256,2022-05-23,2022-08-01,Ducted Heating Service,,,,577.5,0,0
Creditor,rps_lng-HDO210459,rps_lng-HDO19001746,rps_lng-HDO220256,2022-05-23,2022-06-23,Back Glass - Sliding Door Quote,,,,725.0,0,0
Tenancy,rps_lng-HDO210459,,rps_lng-HDO220256,2022-03-15,2022-10-17,Stovetop Cabinets,,,,0.0,0,0
Creditor,rps_lng-HDO210467,rps_lng-DRE19000076,rps_lng-HDO211669,2023-06-14,2023-06-30,Duct Repairs - Heater,,,,605.0,0,0
Creditor,rps_lng-HDO210467,rps_lng-JAM21000001,rps_lng-HDO211669,2023-05-26,2023-06-18,Urgent Rodent Control Treatment,,,,249.0,0,0
Creditor,rps_lng-HDO210467,rps_lng-HDO19003293,rps_lng-HDO211669,2022-10-27,2022-10-27,Replacement of shower hose,,,,145.2,0,0
Creditor,rps_lng-HDO210467,rps_lng-HDO19003293,rps_lng-HDO211669,2022-05-27,2022-06-09,Ensuite shower - No Pressure,,,,132.0,0,0
Creditor,rps_lng-HDO210467,rps_lng-DRE19000036,rps_lng-HDO211669,2022-02-14,2022-02-14,Kitchen cabinet handles & install door stop,,,,558.8,0,0
Creditor,rps_lng-HDO210467,rps_lng-HDO21000910,rps_lng-HDO211669,2022-01-18,2022-01-18,Cleaning,,,,580.8,0,0
Creditor,rps_lng-HDO210467,rps_lng-VAD21000019,rps_lng-HDO211669,2022-01-13,2022-02-01,Electrical and Gas Safety,,,,602.8,0,0
Creditor,rps_lng-HDO210486,rps_lng-CVA21002487,rps_lng-HDO220060,2022-06-07,2022-06-24,Antenna Repairs,,,,259.0,0,0
Creditor,rps_lng-HDO210486,rps_lng-VAD21000019,rps_lng-HDO220060,2022-04-12,2022-06-29,General Maintenance,,,,240.75,0,0
Creditor,rps_lng-HDO210486,rps_lng-VAD21000019,rps_lng-HDO220060,2022-02-18,2022-07-26,Gas & Saftey Checks,,,,0.0,0,0
Creditor,rps_lng-HDO210498,rps_lng-HDO22001433,rps_lng-HDO220477,2022-05-26,2022-05-26,Weeds and garden beds,,,,110.0,0,0
Creditor,rps_lng-HDO210501,rps_lng-HDO19001188,rps_lng-HDO220204,2022-12-02,2022-12-23,Gas Safety,,,,330.0,0,0
Creditor,rps_lng-HDO210501,rps_lng-VAD21000019,rps_lng-HDO220204,2022-02-16,2022-07-12,Electrical and Gas Safety,,,,602.8,0,0
Creditor,rps_lng-HDO210529,rps_lng-HDO19001188,rps_lng-HDO220277,2023-02-07,2023-02-28,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO210536,rps_lng-HDO17002817,rps_lng-HDO220100,2023-03-30,2023-03-30,Replacement of Ducted Heat Exchanger,,,,0.0,0,0
Creditor,rps_lng-HDO210536,rps_lng-HDO19001188,rps_lng-HDO220100,2023-03-14,2023-04-27,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO210536,rps_lng-VAD21000019,rps_lng-HDO220100,2022-11-18,2022-11-18,Additional electrical works,,,,1211.0,0,0
Creditor,rps_lng-HDO210536,rps_lng-SAN22000095,rps_lng-HDO220100,2022-09-28,2022-09-28,Inspect wiring subsequent to inspection report,,,,264.0,0,0
Tenancy,rps_lng-HDO210536,rps_lng-VAD21000019,rps_lng-HDO220100,2022-04-05,2022-11-14,Gas & Electrical checks,,,,0.0,0,0
Creditor,rps_lng-HDO210536,rps_lng-VAD21000019,rps_lng-HDO220100,2022-02-22,2022-11-02,Mailbox & Laundry Light,,,,310.49,0,0
Creditor,rps_lng-HDO220008,rps_lng-CVA21001869,rps_lng-HDO220077,2023-03-07,2023-03-07,Install Toilet Cistern and Seat,,,,540.1,0,0
Creditor,rps_lng-HDO220008,rps_lng-VAD21000019,rps_lng-HDO220077,2022-04-26,2022-09-12,Electrical and Gas Safety,,,,602.8,0,0
Tenancy,rps_lng-HDO220008,,rps_lng-HDO220077,2022-04-22,2022-07-15,"Power Point, Key Safe & Chicken Coop",,,,0.0,0,0
Creditor,rps_lng-HDO220041,rps_lng-HDO19001188,rps_lng-HDO220264,2023-04-05,2023-06-29,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO220056,rps_lng-DRE19000036,rps_lng-HDO220529,2023-04-06,2023-05-12,Gutter Cleaning,,,,241.45,0,0
Creditor,rps_lng-HDO220056,rps_lng-HDO23000141,rps_lng-HDO220529,2023-02-13,2023-02-13,Supply Heat Fitting & Splot Light Sensor,,,,748.0,0,0
Creditor,rps_lng-HDO220056,rps_lng-HDO23000141,rps_lng-HDO220529,2023-01-19,2023-01-19,Fit New Copper Gas Connection,,,,250.0,0,0
Creditor,rps_lng-HDO220056,rps_lng-HDO21001673,rps_lng-HDO220529,2022-09-12,2022-09-12,Vacate cleaning &  steam cleaning of carpets,,,,440.0,0,0
Creditor,rps_lng-HDO220056,rps_lng-DRE19000036,rps_lng-HDO220529,2022-08-26,2022-09-06,General Maintenance,,,,537.9,0,0
Creditor,rps_lng-HDO220056,rps_lng-WES20000011,rps_lng-HDO220529,2022-06-30,2022-06-30,Mowing,,,,99.0,0,0
Creditor,rps_lng-HDO220056,rps_lng-DRE19000036,rps_lng-HDO220529,2022-06-02,2022-06-08,General Maintenance Quote,,,,1804.1,0,0
Tenancy,rps_lng-HDO220112,rps_lng-DRE19000036,rps_lng-SAN220057,2023-01-31,2023-05-12,General Maintenance,,,,3675.0,0,0
Creditor,rps_lng-HDO220112,rps_lng-DRE19000090,rps_lng-SAN220057,2022-03-30,2022-05-25,"Electrical, Gas, and Smoke Alarm Safety",,,,627.0,0,0
Creditor,rps_lng-HDO220133,rps_lng-HDO22003692,rps_lng-SAN220077,2022-05-06,2022-08-03,Septic tank repairs,,,,175.0,0,0
Creditor,rps_lng-HDO220143,rps_lng-HDO19001188,rps_lng-HDO220585,2023-03-20,2023-04-03,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO220153,rps_lng-HDO23000360,rps_lng-HDO220758,2023-05-23,2023-06-26, Bathroom Exhaust/Light Repairs,,,,286.0,0,0
Creditor,rps_lng-HDO220153,rps_lng-VAD21000019,rps_lng-HDO220758,2022-08-04,2022-12-08,Various Items,,,,0.0,0,0
Creditor,rps_lng-HDO220183,rps_lng-VAD21000019,rps_lng-HDO220851,2022-06-28,2022-09-13,Electrical and Gas Safety,,,,602.8,0,0
Creditor,rps_lng-HDO220225,rps_lng-DRE19000036,rps_lng-HDO221042,2023-01-13,2023-01-30,Door Handle,,,,249.7,0,0
Creditor,rps_lng-HDO220232,rps_lng-SAN22000095,rps_lng-HDO220814,2023-03-21,2023-03-21,Replacement of Oven Door,,,,351.32,0,0
Creditor,rps_lng-HDO220232,rps_lng-SAN22000095,rps_lng-HDO220814,2023-02-13,2023-02-23,Electrical Work,,,,351.32,0,0
Creditor,rps_lng-HDO220232,rps_lng-HDO13002453,rps_lng-HDO220814,2022-08-22,2022-09-16,Bathroom Door Painting,,,,236.5,0,0
Creditor,rps_lng-HDO220273,rps_lng-DRE19000036,rps_lng-HDO221112,2023-04-11,2023-04-11,Fence Repairs,,,,492.5,0,0
Creditor,rps_lng-HDO220273,rps_lng-HDO19004445,rps_lng-HDO221112,2023-01-23,2023-02-28,Possible Burst Pipe,,,,462.0,0,0
Creditor,rps_lng-HDO220304,rps_lng-HDO21001673,rps_lng-HDO220977,2022-08-19,2022-08-26,Entry Clean,,,,192.5,0,0
Creditor,rps_lng-HDO220337,rps_lng-DRE19000076,rps_lng-HDO220922,2022-09-08,2022-09-12,A/C Service,,,,286.0,0,0
Creditor,rps_lng-HDO220337,rps_lng-HDO19001147,rps_lng-HDO220922,2022-07-07,2022-08-01,Leaking shower and leaking windows,,,,371.8,0,0
Creditor,rps_lng-HDO220337,rps_lng-HDO19001188,rps_lng-HDO221462,2023-04-05,2023-06-28,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO220383,rps_lng-HDO19001188,rps_lng-HDO230094,2023-04-05,2023-05-29,Gas and Electrical Check,,,,528.0,0,0
Creditor,rps_lng-HDO220471,rps_lng-HDO19001188,rps_lng-HDO221537,2023-02-03,2023-03-14,Combined electrical and gas safety certificates,,,,528.0,0,0
Creditor,rps_lng-HDO220482,rps_lng-DRE20000094,rps_lng-HDO221519,2022-11-30,2022-11-30,House Maintenance,,,,495.0,0,0
Creditor,rps_lng-HDO220594,rps_lng-HDO22003952,rps_lng-HDO221743,2023-01-13,2023-01-13,General Surface Clean,,,,231.0,0,0
Creditor,rps_lng-HDO220703,rps_lng-HDO22004315,rps_lng-HDO230091,2023-02-10,2023-04-05,Roof Leak Inspection,,,,108.9,0,0
Creditor,rps_lng-HDO220707,rps_lng-WES20000011,rps_lng-HDO230182,2023-02-23,2023-02-23,Garden Clean Up,,,,110.0,0,0
Creditor,rps_lng-HDO230051,rps_lng-HDO19001202,rps_lng-JAM230002,2023-06-06,2023-06-06,Order 1x Key - Paid vic CC Essential Keys Vic,,,,47.3,0,0
Creditor,rps_lng-HDO230051,rps_lng-HDO19001790,rps_lng-JAM230002,2023-05-10,2023-05-10,Lot 409E_1x FOBs,,,,55.0,0,0
Creditor,rps_lng-HDO230056,rps_lng-HDO19001147,rps_lng-HDO230173,2023-04-13,2023-05-02,Kitchen Leak Investigation,,,,283.09,0,0
Creditor,rps_lng-HDO230064,rps_lng-HDO19001147,rps_lng-HDO230204,2023-05-25,2023-06-13,Fix Shower Leak,,,,282.7,0,0
Creditor,rps_lng-HDO230064,rps_lng-HDO15002945,rps_lng-HDO230204,2023-04-17,2023-04-19,Wasp Nest Removal,,,,275.0,0,0
Creditor,rps_lng-HDO230065,rps_lng-DRE19000076,rps_lng-HDO230200,2023-06-29,2023-07-04,Serviced Rinnai Gas Wall Heater,,,,275.0,0,0
Creditor,rps_lng-HDO230065,rps_lng-HDO21001704,rps_lng-HDO230200,2023-05-01,2023-05-13,Back Door Repairs,,,,171.6,0,0
Creditor,rps_lng-HDO230065,rps_lng-HDO18000912,rps_lng-HDO230200,2023-03-17,2023-07-11,Wasp Nest Removal,,,,286.0,0,0
Creditor,rps_lng-HDO230086,rps_lng-HDO23001438,rps_lng-HDO230380,2023-05-02,2023-05-10,General Pest & Mice Control,,,,638.0,0,0
Creditor,rps_lng-HDO230187,rps_lng-CVA21002238,rps_lng-JAM230003,2023-05-17,2023-05-30,Gas Safety Check,,,,385.0,0,0
Creditor,rps_lng-HDO230187,rps_lng-DRE22000009,rps_lng-JAM230003,2023-05-17,2023-05-24,Electrical Safety Check,,,,203.5,0,0
