,ID,DateTime,Type,Category,Description,IsCredit,IsDebit,Gross,Net,Balance,Unallocated,VAT
573,rps_lng-HDO23030218,2023-01-20T00:00:00+00:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,-1738.0,,
574,rps_lng-HDO23041067,2023-01-25T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,,,
575,rps_lng-HDO23063968,2023-02-18T00:00:00+00:00,Invoice,Rent,Rent from 18/02/2023 to 17/03/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,-1738.0,,
576,rps_lng-HDO23077349,2023-02-20T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 7/9DENBIGHROAD,True,False,1738.0,1738.0,,,
577,rps_lng-HDO23079978,2023-02-22T00:00:00+00:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,-1738.0,,
578,rps_lng-HDO23088910,2023-02-24T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,,,
579,rps_lng-HDO23111509,2023-03-18T00:00:00+00:00,Invoice,Rent,Rent from 18/03/2023 to 17/04/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,-1738.0,,
580,rps_lng-HDO23124287,2023-03-20T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,,,
581,rps_lng-HDO23124488,2023-03-20T00:00:00+00:00,Payment,Tenant Payment,Tenancy Receipt Ref: 7/9DENBIGHROAD,True,False,1738.0,1738.0,1738.0,,
582,rps_lng-HDO23126482,2023-03-22T00:00:00+00:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,,,
583,rps_lng-HDO23139703,2023-03-29T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,220.0,220.0,220.0,,
584,rps_lng-HDO23141041,2023-03-30T00:00:00+01:00,Invoice,Tenant Admin Fee,Tenant Transfer Fee,False,True,220.0,200.0,,,20.0
585,rps_lng-HDO23169189,2023-04-18T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 7/9DENBIGHROAD,True,False,1738.0,1738.0,1738.0,,
586,rps_lng-HDO23159441,2023-04-18T00:00:00+01:00,Invoice,Rent,Rent from 18/04/2023 to 17/05/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,,,
587,rps_lng-HDO23170741,2023-04-19T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,1738.0,,
588,rps_lng-HDO23170944,2023-04-20T00:00:00+01:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,,,
589,rps_lng-HDO23217250,2023-05-18T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 7/9DENBIGHROAD,True,False,1738.0,1738.0,1738.0,,
590,rps_lng-HDO23208311,2023-05-18T00:00:00+01:00,Invoice,Rent,Rent from 18/05/2023 to 17/06/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,,,
591,rps_lng-HDO23219840,2023-05-22T00:00:00+01:00,Invoice,Tenant Admin Fee,Dishonour Fee,False,True,25.0,25.0,-25.0,25.0,
592,rps_lng-HDO23219839,2023-05-22T00:00:00+01:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,-1763.0,,
593,rps_lng-HDO23222168,2023-05-22T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,-25.0,,
594,rps_lng-HDO23251850,2023-06-18T00:00:00+01:00,Invoice,Rent,Rent from 18/06/2023 to 17/07/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,-1763.0,,
595,rps_lng-HDO23264044,2023-06-19T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 7/9DENBIGHROAD,True,False,1738.0,1738.0,-25.0,,
596,rps_lng-HDO23265857,2023-06-20T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,1713.0,,
597,rps_lng-HDO23266086,2023-06-21T00:00:00+01:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,-25.0,,
598,rps_lng-HDO23314591,2023-07-18T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: 7/9DENBIGHROAD,True,False,1738.0,1738.0,1713.0,,
599,rps_lng-HDO23305791,2023-07-18T00:00:00+01:00,Invoice,Rent,Rent from 18/07/2023 to 17/08/2023 for 7/9 Denbigh Road,False,True,1738.0,1738.0,-25.0,,
600,rps_lng-HDO23316130,2023-07-19T00:00:00+01:00,Payment,Tenant Payment,Tenancy Receipt Ref: DEFT Bpay 48329080,True,False,1738.0,1738.0,1713.0,,
601,rps_lng-HDO23316358,2023-07-20T00:00:00+01:00,Debit Adjustment,Tenant Payment,Dishonoured Direct Debit: Tenancy Receipt Ref: 7/9DENBIGHROAD,False,True,1738.0,1738.0,-25.0,,
