property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_[fee id]
rps_lng-HDO120064,rps_lng-RPT120064, Residential_House ,,6,Foyle Crescent,,Weir Views,Vic,3338,4,0,0,,0,,,2023-05-22T23:21:56+01:00,,rntinc,,375.1233,Weekly,,,,,
rps_lng-HDO120067,rps_lng-RPT120067, Residential_Apartment ,204,72,Cross Street,,West Footscray,Vic,3012,2,1,2,,0,,,2023-01-12T17:00:28+00:00,,rntinc,,390.0822,Monthly,,,,,
rps_lng-HDO120069,rps_lng-RPT120069, Residential_House ,,30,Park Avenue,,West Footscray,Vic,3012,3,2,2,,0,,,2023-01-09T15:14:11+00:00,,rntinc,,500.0,Weekly,,,,,
rps_lng-HDO120074,rps_lng-RPT120074, Residential_House ,,3,Crathe Close,,Roxburgh Park,Vic,3064,4,2,2,,0,2019-08-08T09:24:02+01:00,,2023-01-31T09:48:02+00:00,,rntinc,,434.9589,Monthly,,,,,
rps_lng-HDO120111,rps_lng-RPT120110, Residential_House ,,11,Bandon Road,,Weir Views,Vic,3338,4,2,2,,0,2021-08-16T11:15:03+01:00,,2023-04-14T13:04:53+01:00,,rntinc,,360.0,Weekly,,,,,
rps_lng-HDO130025,rps_lng-RPT130025, Residential_House ,,16,Cavell Drive,,Craigieburn,Vic,3064,3,2,2,,0,,,2023-06-30T10:51:16+01:00,,rntinc,,420.0,Weekly,,,,,
rps_lng-HDO130045,rps_lng-RPT130045, Residential_Townhouse ,,13,Chapel Street,,Point Cook,Vic,3030,3,2,2,,0,2021-04-22T18:23:03+01:00,,2023-07-04T17:29:15+01:00,,rntinc,,390.0822,Monthly,,,,,
rps_lng-HDO130049,rps_lng-RPT130049, Residential_Townhouse ,2,250,Pascoe Vale Road,,Essendon,Vic,3040,2,2,1,,0,,,2023-01-09T15:14:11+00:00,,rntinc,,490.0,Weekly,,,,,
rps_lng-HDO130078,rps_lng-RPT130078, Residential_House ,,39,Grattan Cove,,Craigieburn,Vic,3064,3,0,0,,0,,,2023-06-30T10:51:43+01:00,,rntinc,,390.0822,Monthly,,,,,
rps_lng-HDO140009,rps_lng-RPT140009, Residential_House ,,24,O'Loghlen Drive,,Wyndham Vale,Vic,3024,4,0,0,,0,,,2022-12-08T11:16:30+00:00,,rntinc,,349.8082,Monthly,,,,,
rps_lng-HDO140026,rps_lng-RPT140026, Residential_House ,,4,Lakshmi Street,,Epping,Vic,3076,4,0,0,,0,,,2023-03-10T14:11:40+00:00,,rntinc,,465.1068,Monthly,,,,,
