tenancy_id,property_id,original_lease_start,lease_start,lease_end,vacate_type,notice_sent_received,termination_date,moving_out,charge_to,contact_1_id,contact_[n]_auto_email_receipts,contact_[n]_auto_email_invoices,contact_[n]_enotices_no_consent,contact_[n]_dont_send_marketing,contact_[n]_type,contact_[n]_account_name,contact_[n]_account_bsb,contact_[n]_account_no,direct_debit_invoices,direct_debit_rent,direct_debit_contact_id,direct_debit_max_amount,direct_debit_schedule_description,direct_debit_schedule_period,direct_debit_schedule_amount,direct_debit_schedule_start,direct_debit_schedule_end,last_rent_review,next_rent_review,rent_account,rent_description,rent_start,rent_period,rent_amount,new_rent_start,new_rent_period,new_rent_amount,rent_paid_to,rent_credit,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,outgoings_[n]_paid_to,outgoings_[n]_credit,new_outgoings_[n]_amount,bond_[n]_required,bond_[n]_account,bond_[n]_reference,bond_[n]_lodged_direct,held_for_tenancy,tag_[group name],fee_[fee id],contact_2_id,contact_3_id,contact_4_id
rps_lng-HDO211277,rps_lng-HDO210227,2022-10-16,2022-10-16,2023-06-15,,,,,,rps_lng-HDO21002767,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,410.1,,,,15/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO21002766,,
rps_lng-HDO210895,rps_lng-HDO210242,2023-04-07,2023-04-07,2024-04-06,,,,,,rps_lng-HDO21002936,,,,,,,,,,,,,,,,,,,2024-01-01T15:00:00+00:00,100005,,,Monthly,359.93,,,,,,,,,,,,,,,,,,,rps_lng-HDO22001075,rps_lng-HDO22001076,
rps_lng-HDO221803,rps_lng-HDO210251,2023-01-20,2023-01-20,2024-01-19,,,,,,rps_lng-HDO22004141,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,390.08,,,,19/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22004140,,
rps_lng-HDO211079,rps_lng-HDO210271,2022-09-03,2022-09-03,2023-09-02,,,,,,rps_lng-HDO21002358,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,309.99,,,,,270.0,,,,,,,,,,,,,,,,
rps_lng-HDO230831,rps_lng-HDO210296,2023-07-10,2023-07-10,2024-07-09,,,,,,rps_lng-HDO23002240,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,799.96,,,,09/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO23002239,,
rps_lng-HDO221546,rps_lng-HDO210307,2022-11-11,2022-11-11,2023-11-10,,,,,,rps_lng-HDO22003567,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,599.97,,,,,,,,,,,,,,,,,,,rps_lng-HDO22003565,rps_lng-HDO22003566,
rps_lng-HDO211581,rps_lng-HDO210327,2022-01-04,2022-01-04,2023-02-03,,,,,,rps_lng-HDO21003383,,,,,,,,,,,,,,,,,,,2024-04-01T11:00:00+01:00,100005,,,Monthly,689.95,,,,03/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO21003382,,
rps_lng-HDO220023,rps_lng-HDO210330,2023-01-12,2023-01-12,2024-01-11,,,,,,rps_lng-HDO22000051,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,469.94,,,,11/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22000050,,
rps_lng-HDO211234,rps_lng-HDO210334,2022-10-02,2022-10-02,2023-10-01,,,,,,rps_lng-HDO21002682,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,709.97,,,,01/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO21002681,,
rps_lng-HDO221581,rps_lng-HDO210354,2022-11-11,2022-11-11,2023-11-10,,,,,,rps_lng-HDO22003633,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,500.09,,,,,,,,,,,,,,,,,,,rps_lng-HDO22003631,rps_lng-HDO22003632,
