property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_1,fee_2,fee_3,fee_4,fee_5,fee_6,fee_7,Property Manager
rps_lng-CVA210542,rps_lng-CVA210166, Residential_  ,902,288,Albert Street,,BRUNSWICK,VIC,3056,2,1,1,,0,1999-01-01,,2022-12-08T11:23:12+00:00,,100005,,425.06,Monthly,,,,,7.7,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210579,rps_lng-CVA210546, Residential_  ,2407,60,Kavanagh Street,,SOUTHBANK,VIC,3006,1,1,0,,0,1999-01-01,,2023-03-27T15:34:50+01:00,,100005,,469.94,Monthly,,,,,7.7,5.5,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210610,rps_lng-CVA210572, Residential_  ,814,338,Kings Way,,SOUTH MELBOURNE,VIC,3205,2,1,1,,0,1999-01-01,,2023-07-19T14:47:37+01:00,,100005,,550.03,Monthly,,,,,7.0,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210616,rps_lng-CVA210580, Residential_  ,503,11,David Street,,RICHMOND,VIC,3121,2,2,1,,0,1999-01-01,,2023-08-08T13:49:22+01:00,,100005,,550.0,Weekly,,,,,5.5,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-CVA210647,rps_lng-CVA210607, Residential_  ,17,88,Franklin Street,,MELBOURNE,VIC,3000,2,1,0,,0,1999-01-01,,2023-06-16T10:25:04+01:00,,100005,,410.1,Weekly,,,,,8.1,4.4,,,,,40.0,Kasey Neuendorf
rps_lng-HDO080004,rps_lng-RPT080004, Residential_  ,,18,Cadell Avenue,,Tarneit,Vic,3029,4,2,2,,0,1999-01-01,,2022-10-03T15:22:31+01:00,,100005,,370.06,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO080019,rps_lng-RPT080016, Residential_  ,,20,Delias Road,,Tarneit,Vic,3029,4,2,2,,0,1999-01-01,,2023-05-18T12:41:47+01:00,,100005,,399.98,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO090003,rps_lng-RPT090003, Residential_  ,,16,Winona Circuit,,Tarneit,Vic,3029,4,0,0,,0,1999-01-01,,2023-05-18T12:25:05+01:00,,100005,,420.0,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO090030,rps_lng-RPT090028, Residential_  ,,22,Prairie Place,,Truganina,Vic,3029,3,2,2,,0,1999-01-01,,2023-03-15T14:33:17+00:00,,100005,,409.87,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO100024,rps_lng-RPT100021, Residential_  ,,5,Prairie Place,,Truganina,Vic,3029,3,2,2,,0,1999-01-01,,2023-07-24T16:14:10+01:00,,100005,,375.12,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO110042,rps_lng-RPT110042, Residential_  ,,39,Laurence Way,,Tarneit,Vic,3029,4,2,2,,0,1999-01-01,,2022-06-14T09:38:37+01:00,,100005,,390.08,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO110043,rps_lng-RPT110043, Residential_  ,,13,Edenvale Street,,Wyndham Vale,Vic,3024,3,0,0,,0,1999-01-01,,2022-12-12T15:11:38+00:00,,100005,,339.91,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO120044,rps_lng-RPT120044, Residential_  ,,117,Penrose Promenade,,Tarneit,Vic,3029,4,0,0,,0,1999-01-01,,2023-04-12T19:05:25+01:00,,100005,,394.92,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO120056,rps_lng-RPT120056, Residential_  ,,9,Crathe Close,,Roxburgh Park,Vic,3064,4,2,2,,0,1999-01-01,,2023-04-12T19:04:21+01:00,,100005,,489.96,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO120064,rps_lng-RPT120064, Residential_  ,,6,Foyle Crescent,,Weir Views,Vic,3338,4,0,0,,0,1999-01-01,,2023-05-22T23:21:56+01:00,,100005,,375.12,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO120067,rps_lng-RPT120067, Residential_  ,204,72,Cross Street,,West Footscray,Vic,3012,2,1,2,,0,1999-01-01,,2023-01-12T17:00:28+00:00,,100005,,390.08,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO120069,rps_lng-RPT120069, Residential_  ,,30,Park Avenue,,West Footscray,Vic,3012,3,2,2,,0,1999-01-01,,2023-01-09T15:14:11+00:00,,100005,,500.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
